City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,udachny,66.4167,112.4,-19.94,100,100,1.3,RU,32400
160,pisco,-13.7,-76.2167,20.03,83,100,4.63,PE,-18000
161,ponta delgada,37.7333,-25.6667,17.33,99,75,1.34,PT,0
162,punta arenas,-53.15,-70.9167,4.06,70,40,2.57,CL,-10800
163,maceio,-9.6658,-35.7353,24.69,94,0,4.12,BR,-10800
164,vernon,50.2581,-119.2691,4.74,44,100,0.0,CA,-25200
165,sos'va,59.1766,61.8558,-3.86,63,100,2.24,RU,18000
166,tefe,-3.3542,-64.7114,24.21,95,100,1.13,BR,-14400
167,port augusta,-32.5,137.7667,21.75,22,6,2.38,AU,37800
168,makurazaki,31.2667,130.3167,21.44,59,63,3.72,JP,32400
169,fedorovskiy,45.0972,40.9517,16.34,71,100,3.2,RU,10800
170,remire-montjoly,4.9167,-52.2667,27.02,89,0,3.09,GF,-10800
171,ordu,40.9086,37.6845,10.28,52,100,4.01,TR,10800
172,walvis bay,-22.9575,14.5053,16.53,82,98,3.6,NA,7200
173,port elizabeth,-33.918,25.5701,17.16,88,75,11.32,ZA,7200
174,amal,59.051,12.7049,3.25,84,100,5.35,SE,7200
175,bubaque,11.2833,-15.8333,28.0,79,17,6.28,GW,0
176,brandfort,-28.7001,26.4597,12.67,16,97,4.48,ZA,7200
177,keflavik,64.0049,-22.5624,6.24,93,0,1.03,IS,0
178,howard springs,-12.497,131.047,32.71,67,6,1.35,AU,34200
179,doka,13.5167,35.7667,23.29,69,100,2.17,SD,7200
180,kapustin yar,48.5831,45.7372,2.46,98,100,4.24,RU,14400
181,porto novo,6.4965,2.6036,25.74,86,20,2.67,BJ,3600
182,road town,18.4167,-64.6167,28.05,78,20,3.09,VG,-14400
183,papatowai,-46.5619,169.4708,4.91,81,100,5.78,NZ,46800
184,jalalaqsi,3.3766,45.5996,25.34,84,42,2.5,SO,10800
185,bryne,58.7354,5.6477,5.55,81,20,0.0,NO,7200
186,lashio,22.9333,97.75,18.9,89,21,0.37,MM,23400
187,anadyr,64.75,177.4833,0.28,93,75,3.0,RU,43200
188,novyy urengoy,66.0833,76.6333,-10.47,85,100,6.83,RU,18000
189,patigi,8.7333,5.75,25.18,76,5,1.69,NG,3600
190,hung yen,20.65,106.0667,27.01,66,14,1.06,VN,25200
191,mount gambier,-37.8333,140.7667,17.06,36,47,2.57,AU,37800
192,anna regina,7.2644,-58.5077,27.89,77,100,4.25,GY,-14400
193,borsa,47.6553,24.6633,10.15,98,100,1.59,RO,10800
194,khovd,48.0056,91.6419,5.29,30,41,4.49,MN,25200
195,kapuskasing,49.4169,-82.4331,1.05,93,100,5.14,CA,-14400
196,alaghsas,17.0187,8.0168,25.35,15,6,4.32,NE,3600
197,jijel,36.8205,5.7667,16.97,82,0,1.54,DZ,3600
198,bataipora,-22.2953,-53.2711,21.51,95,100,1.51,BR,-14400
199,kiunga,-6.1219,141.2906,31.86,50,10,1.04,PG,36000
200,mount isa,-20.7333,139.5,25.87,11,40,6.17,AU,36000
201,la passe,45.5549,-0.8967,15.55,78,17,9.35,FR,7200
202,trail,49.0998,-117.7022,4.27,75,100,0.74,CA,-25200
203,penzance,50.1186,-5.5371,13.38,86,100,9.76,GB,3600
204,thunder bay,48.4001,-89.3168,2.99,87,100,3.6,CA,-14400
205,ulsteinvik,62.3432,5.8487,3.75,82,5,2.24,NO,7200
206,waiuku,-37.25,174.75,14.92,73,100,5.53,NZ,46800
207,kenai,60.5544,-151.2583,5.05,67,0,0.0,US,-28800
208,kodiak,57.79,-152.4072,6.48,80,98,5.76,US,-28800
209,zyryanovsk,49.7386,84.2719,3.59,87,100,3.05,KZ,21600
210,luwuk,-0.9516,122.7875,30.42,47,2,2.83,ID,28800
211,chiang mai,18.75,99.0,25.04,88,40,1.54,TH,25200
212,bayanhongor,46.7167,100.1167,-0.68,38,45,0.42,MN,28800
213,filadelfia,39.9523,-75.1638,19.98,69,0,0.89,US,-14400
214,schwabisch hall,49.1113,9.7391,11.7,90,100,2.06,DE,7200
215,peruibe,-24.32,-46.9983,19.77,95,100,2.56,BR,-10800
216,klyuchi,52.2667,79.1667,-1.27,63,8,6.75,RU,25200
217,belyy yar,53.6039,91.3903,5.94,56,0,6.0,RU,25200
218,antsiranana,-12.2787,49.2917,23.31,88,10,3.04,MG,10800
219,andergrove,-21.0833,149.1833,30.91,43,3,7.72,AU,36000
220,port macquarie,-31.4333,152.9167,19.94,61,100,8.9,AU,39600
221,yuzhno-kurilsk,44.0306,145.8556,11.32,87,98,2.68,RU,36000
222,ilebo,-4.3167,20.5833,20.87,99,100,0.89,CD,7200
223,vila velha,-20.3297,-40.2925,25.97,89,75,1.03,BR,-10800
224,bamboo flat,11.7,92.7167,25.05,100,40,1.03,IN,19800
225,umm kaddadah,13.6017,26.6876,28.83,38,100,4.39,SD,7200
226,garachico,28.7781,-17.7646,20.06,64,0,3.09,ES,3600
227,hinton,53.4001,-117.5857,-7.89,93,100,0.72,CA,-21600
228,yabelo,4.8833,38.0833,14.74,87,94,2.12,ET,10800
229,lorengau,-2.0226,147.2712,27.44,80,100,0.8,PG,36000
230,saint-pierre,-21.3393,55.4781,22.82,68,0,2.57,RE,14400
231,nelson bay,-32.7167,152.15,17.78,84,94,4.92,AU,39600
232,ilomantsi,62.6716,30.9328,-3.5,88,76,2.41,FI,10800
233,male,4.1748,73.5089,27.97,89,75,5.14,MV,18000
234,kone,-21.0595,164.8658,27.4,66,51,3.2,NC,39600
235,campoverde,-8.4753,-74.8058,26.83,62,80,1.21,PE,-18000
236,nova sintra,14.8667,-24.7167,24.91,79,100,8.49,CV,-3600
237,atafu village,-8.5421,-172.5159,28.82,77,100,6.07,TK,46800
238,salalah,17.0151,54.0924,26.05,89,20,1.54,OM,14400
239,iwaki,37.05,140.8833,20.01,62,96,0.45,JP,32400
240,ketchikan,55.3422,-131.6461,9.99,55,10,2.07,US,-28800
241,broome,42.2506,-75.833,18.43,84,100,0.45,US,-14400
242,nikolayevsk-on-amure,53.1406,140.73,4.2,62,8,2.98,RU,36000
243,prince rupert,54.3161,-130.3201,10.05,35,0,8.23,CA,-25200
244,san angelo,31.4638,-100.437,24.67,73,0,2.06,US,-18000
245,fort mcmurray,56.7268,-111.381,-0.23,69,100,3.09,CA,-21600
246,afaahiti,-17.75,-149.2833,25.93,91,100,0.88,PF,-36000
247,palmer,42.1584,-72.3287,19.36,76,40,0.0,US,-14400
248,sinop,41.7711,34.8709,16.88,50,100,2.73,TR,10800
249,nevers,46.9167,3.3333,10.9,94,95,4.03,FR,7200
250,licheng,23.2955,113.8284,26.18,73,51,1.13,CN,28800
251,coahuayana de hidalgo,18.7,-103.6583,25.76,87,84,1.76,MX,-21600
252,shizunai-furukawacho,42.3339,142.3669,13.9,80,100,3.68,JP,32400
253,necochea,-38.5473,-58.7368,16.43,47,0,6.26,AR,-10800
254,hadithah,34.1397,42.3781,22.67,49,32,3.31,IQ,10800
255,charters towers,-20.1,146.2667,30.22,26,0,6.09,AU,36000
256,east london,-33.0153,27.9116,18.54,83,77,9.18,ZA,7200
257,amahai,-3.3333,128.9167,28.43,62,97,1.51,ID,32400
258,cobija,-11.0267,-68.7692,32.1,58,100,3.09,BO,-14400
259,chiang saen,20.2751,100.0869,25.45,92,85,0.2,TH,25200
260,labasa,-16.4167,179.3833,27.56,71,100,7.96,FJ,43200
261,mpigi,0.225,32.3136,17.75,96,100,0.41,UG,10800
262,port lincoln,-34.7333,135.8667,18.06,47,63,7.14,AU,37800
263,brookings,44.3114,-96.7984,6.14,97,100,3.6,US,-18000
264,touros,-5.1989,-35.4608,27.3,67,98,5.27,BR,-10800
265,sur,22.5667,59.5289,26.72,63,82,2.0,OM,14400
266,moyynkum,44.2914,72.9469,7.73,58,100,2.17,KZ,21600
267,erenhot,43.6475,111.9767,9.52,32,0,4.38,CN,28800
268,xiaoshi,41.2971,124.1209,9.0,26,6,1.07,CN,28800
269,eagle mountain,40.3141,-112.0069,5.32,44,0,2.68,US,-21600
270,bekovo,52.4663,43.712,-2.26,95,100,6.87,RU,10800
271,nar'yan-mar,67.6713,53.087,-11.61,100,58,1.79,RU,10800
272,wanning,18.8003,110.3967,26.82,85,9,0.87,CN,28800
273,vorkuta,67.5,64.0,-9.18,93,100,4.1,RU,10800
274,georgetown,5.4112,100.3354,27.75,89,20,1.54,MY,28800
275,zouerate,22.7187,-12.4521,24.34,24,0,3.58,MR,0
276,kedrovyy,56.1667,91.8167,3.35,68,87,7.66,RU,25200
277,oodweyne,9.4092,45.064,22.08,75,85,3.25,SO,10800
278,lazaro cardenas,17.9583,-102.2,26.21,86,39,3.24,MX,-21600
279,conil de la frontera,36.2772,-6.0885,18.83,91,79,5.49,ES,7200
280,sitka,57.0531,-135.33,5.1,67,0,1.17,US,-28800
281,naxos,37.1056,25.3764,22.95,73,0,0.45,GR,10800
282,buala,-8.145,159.5921,28.32,74,100,0.8,SB,39600
283,tamiahua,21.2667,-97.45,25.87,91,15,3.74,MX,-21600
284,guerrero negro,27.9769,-114.0611,18.95,73,0,7.07,MX,-25200
285,whakatane,-37.9585,176.9854,17.51,75,100,3.58,NZ,46800
286,asau,46.4333,26.4,12.38,86,100,2.13,RO,10800
287,iguape,-24.7081,-47.5553,19.86,91,100,3.87,BR,-10800
288,klintsy,52.7602,32.2393,3.62,96,100,4.79,RU,10800
289,nuku'alofa,-21.1333,-175.2,26.19,61,20,7.72,TO,46800
290,port-gentil,-0.7193,8.7815,24.91,91,100,4.07,GA,3600
291,shadrinsk,56.0852,63.6335,-8.24,90,17,4.93,RU,18000
